Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Rodrigo Muniz,2,5,2,0,0,17,0,2024-08-16,23-104,br BRA,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,77,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,14.2,0,5,6,83.3,2,0,0,0,1,79,13,2,3,66.7,2,2,100.0,1,1,100.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,17,1,2,9,6,4,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,1,FW,Match Report
12,Tom Cairney,0,15,1,0,1,18,0,2024-08-16,33-209,sct SCO,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,27,0,0,0,0,0,0,0,0,,,0,,,0,15,17,88.2,1,1,1,0,4,247,69,4,5,80.0,10,10,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,8,7,2,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,1,MF,Match Report
13,Jay Stansfield,0,0,0,0,0,0,0,2024-08-16,21-266,eng ENG,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,MF,Match Report
14,Raúl Jiménez,0,2,0,0,0,5,0,2024-08-16,33-103,mx MEX,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,13,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,60,1,0,1,0.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
15,Harry Wilson,0,5,0,0,0,7,0,2024-08-16,27-147,wls WAL,Fulham,@,Manchester Utd,eng Premier League,L 0-1,N,13,0,0,0,0,0,0,0,0,,,0,,,0,5,6,83.3,0,1,0,0,0,62,13,4,4,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,2,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
16,Saša Lukić,0,40,0,0,0,53,3,2024-08-16,28-003,rs SRB,Fulham,@,Manchester Utd,eng Premier League,L 0-1,Y,89,0,0,0,0,0,0,0,0,,,0,,,0,40,45,88.9,0,2,0,0,4,590,158,19,22,86.4,20,21,95.2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4,20,30,4,0,53,3,2,2,1,0,0,2,0.0,2,1,0,1,1,4,1,0,0,0,0,0,1,MF,Match Report
17,Emile Smith Rowe,2,48,1,0,0,62,1,2024-08-24,24-027,eng ENG,Fulham,,Leicester City,eng Premier League,W 2-1,Y,68,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,17.2,0,48,53,90.6,0,4,0,0,5,693,104,29,30,96.7,18,20,90.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,2,2,31,29,4,62,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,1,MF,Match Report
18,Bernd Leno,0,31,0,0,0,39,0,2024-08-24,32-173,de GER,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,38,81.6,0,1,0,0,0,879,527,4,4,100.0,19,19,100.0,8,15,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,28,39,0,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
19,Antonee Robinson,0,41,2,1,0,69,5,2024-08-24,27-016,us USA,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,41,49,83.7,2,4,2,1,3,812,274,15,16,93.8,22,25,88.0,4,5,80.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,69,5,16,30,23,1,69,5,5,3,1,1,5,5,100.0,0,1,0,1,3,8,4,0,0,0,0,1,0,DF,Match Report
20,Andreas Pereira,2,52,11,0,0,76,0,2024-08-24,28-236,br BRA,Fulham,,Leicester City,eng Premier League,W 2-1,Y,85,0,0,0,0,0,0,0,2,0.0,,0,0.0,32.3,1,52,65,80.0,7,8,2,0,11,1089,376,20,24,83.3,21,25,84.0,11,15,73.3,11,5,5,0,0,1,0,0,0,0,0,0,0,0,76,0,3,30,43,1,76,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,3,MF,Match Report
21,Alex Iwobi,2,34,3,0,0,55,0,2024-08-24,28-113,ng NGA,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,11.9,0,34,46,73.9,1,3,3,0,8,503,110,20,21,95.2,12,16,75.0,2,5,40.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,55,1,4,23,29,3,55,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
22,Kenny Tete,2,53,2,1,0,74,4,2024-08-24,28-320,nl NED,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,14.4,0,53,61,86.9,0,5,1,0,8,888,320,24,26,92.3,21,23,91.3,5,6,83.3,2,1,0,1,0,0,0,1,1,0,0,0,0,0,74,1,15,38,21,2,74,4,2,0,1,3,1,1,100.0,0,1,0,1,3,7,0,0,0,0,0,4,2,DF,Match Report
23,Harrison Reed,0,3,0,0,0,4,0,2024-08-24,29-210,eng ENG,Fulham,,Leicester City,eng Premier League,W 2-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,3,3,100.0,0,0,1,0,2,33,13,1,1,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,MF,Match Report
24,Adama Traoré,3,24,7,1,0,42,0,2024-08-24,28-212,es ESP,Fulham,,Leicester City,eng Premier League,W 2-1,Y,68,0,1,1,0,0,0,0,3,0.0,0.0,1,33.3,16.3,0,24,34,70.6,4,3,1,0,6,317,86,16,23,69.6,5,7,71.4,1,1,100.0,7,5,0,0,1,0,1,1,1,0,0,0,0,0,42,0,0,15,28,5,42,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,"FW,MF",Match Report
25,Calvin Bassey,0,68,0,0,0,80,0,2024-08-24,24-237,ng NGA,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,68,75,90.7,0,2,0,0,3,1390,429,20,21,95.2,37,39,94.9,10,14,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,8,34,46,1,0,80,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,0,0,0,0,1,DF,Match Report
26,Issa Diop,0,48,1,0,0,64,0,2024-08-24,27-228,fr FRA,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,48,61,78.7,0,5,1,0,3,1016,374,11,14,78.6,30,36,83.3,6,10,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,2,25,38,1,1,64,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
27,Rodrigo Muniz,7,5,2,0,0,22,0,2024-08-24,23-112,br BRA,Fulham,,Leicester City,eng Premier League,W 2-1,Y,79,0,0,0,0,0,0,0,7,0.0,0.0,2,28.6,11.9,0,5,8,62.5,2,1,0,0,2,70,26,3,3,100.0,2,3,66.7,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22,2,2,8,12,8,22,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,2,FW,Match Report
28,Tom Cairney,0,10,1,1,1,12,2,2024-08-24,33-217,sct SCO,Fulham,,Leicester City,eng Premier League,W 2-1,N,22,0,0,0,0,0,0,0,0,,,0,,,0,10,10,100.0,0,1,0,0,1,149,48,4,4,100.0,6,6,100.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,12,1,3,7,2,0,12,2,1,1,0,1,0,1,0.0,1,0,0,0,0,2,0,0,1,0,0,1,1,MF,Match Report
29,Raúl Jiménez,0,2,0,0,0,6,0,2024-08-24,33-111,mx MEX,Fulham,,Leicester City,eng Premier League,W 2-1,N,11,0,0,0,0,0,0,0,0,,,0,,,0,2,3,66.7,0,1,0,0,1,38,23,1,1,100.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,3,0,6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
30,Harry Wilson,0,9,1,0,1,14,0,2024-08-24,27-155,wls WAL,Fulham,,Leicester City,eng Premier League,W 2-1,N,22,0,0,0,0,0,0,0,0,,,0,,,0,9,11,81.8,0,1,0,0,1,100,34,6,6,100.0,2,2,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,6,7,4,14,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,"FW,MF",Match Report
31,Saša Lukić,0,61,3,0,0,70,2,2024-08-24,28-011,rs SRB,Fulham,,Leicester City,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,61,65,93.8,1,5,1,0,4,912,220,32,32,100.0,25,27,92.6,2,2,100.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,70,0,7,53,10,0,70,2,1,0,1,1,1,4,25.0,3,0,0,0,1,3,0,0,0,0,0,3,1,MF,Match Report
32,Emile Smith Rowe,2,35,2,0,0,40,1,2024-08-31,24-034,eng ENG,Fulham,@,Ipswich Town,eng Premier League,D 1-1,Y,71,0,0,0,0,0,0,0,2,0.0,,0,0.0,16.3,0,35,37,94.6,0,2,0,0,3,534,32,20,20,100.0,11,11,100.0,3,3,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,40,0,8,23,9,2,40,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,2,2,MF,Match Report
