Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Kevin Kampl,0,54,2,0,0,66,2,2024-08-24,33-320,si SVN,RB Leipzig,,Bochum,de Bundesliga,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,54,61,88.5,0,5,1,0,4,926,199,24,27,88.9,27,28,96.4,2,3,66.7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,66,0,15,46,6,1,66,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,0,1,MF,Match Report
12,Péter Gulácsi,0,28,0,0,0,34,0,2024-08-24,34-110,hu HUN,RB Leipzig,,Bochum,de Bundesliga,W 1-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,32,87.5,0,0,0,0,0,742,381,4,4,100.0,13,14,92.9,11,14,78.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,32,2,0,0,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
13,Lukas Klostermann,0,5,0,0,0,9,0,2024-08-24,28-082,de GER,RB Leipzig,,Bochum,de Bundesliga,W 1-0,N,16,0,0,0,0,0,0,0,0,,,0,,,0,5,7,71.4,0,0,0,0,0,88,17,2,2,100.0,3,4,75.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,3,0,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,DF,Match Report
14,Yussuf Poulsen,0,7,1,0,0,12,0,2024-08-24,30-070,dk DEN,RB Leipzig,,Bochum,de Bundesliga,W 1-0,N,16,0,0,0,0,0,0,0,0,,,0,,,0,7,10,70.0,1,1,2,0,2,89,45,5,5,100.0,2,3,66.7,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,4,5,3,0,12,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
15,Xavi Simons,3,38,5,1,1,62,0,2024-08-24,21-125,nl NED,RB Leipzig,,Bochum,de Bundesliga,W 1-0,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,17.2,0,38,52,73.1,3,3,4,1,5,705,215,16,18,88.9,14,19,73.7,6,9,66.7,5,4,0,0,1,0,0,1,0,0,0,1,0,0,62,0,4,36,22,6,62,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,2,2,MF,Match Report
16,Mohamed Simakan,0,42,3,0,0,52,0,2024-08-24,24-113,fr FRA,RB Leipzig,,Bochum,de Bundesliga,W 1-0,Y,54,0,0,0,0,0,0,0,0,,,0,,,0,42,50,84.0,3,5,2,1,7,779,306,15,19,78.9,21,23,91.3,5,5,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,52,0,9,35,9,2,52,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,0,0,0,0,1,DF,Match Report
17,Benjamin Henrichs,1,27,2,1,0,49,4,2024-08-31,27-190,de GER,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,88,0,1,1,0,0,0,0,1,0.0,,0,0.0,18.1,0,27,36,75.0,2,0,1,1,2,487,152,11,12,91.7,13,15,86.7,3,5,60.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,49,5,17,15,17,1,49,4,1,2,1,1,3,3,100.0,0,1,0,1,3,7,4,0,0,0,0,1,0,DF,Match Report
18,El Chadaille Bitshiabu,0,33,0,0,0,54,5,2024-08-31,19-107,fr FRA,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,33,36,91.7,0,2,0,0,1,742,287,8,10,80.0,17,18,94.4,8,8,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,14,30,24,1,0,54,5,3,1,4,0,3,4,75.0,1,0,0,0,2,7,5,1,0,0,0,1,0,DF,Match Report
19,Nicolas Seiwald,0,29,2,1,0,48,3,2024-08-31,23-119,at AUT,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,N,76,0,0,0,0,0,0,0,0,,,0,,,0,29,34,85.3,0,0,0,0,1,472,136,16,17,94.1,12,14,85.7,1,3,33.3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,48,4,17,25,6,0,48,3,3,0,3,0,1,2,50.0,1,2,0,2,0,3,6,0,0,0,0,0,0,"MF,DF",Match Report
20,Benjamin Šeško,1,17,2,1,0,31,0,2024-08-31,21-092,si SVN,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,66,0,1,1,0,0,0,0,1,0.0,,0,0.0,9.0,0,17,21,81.0,2,3,1,0,5,243,85,9,10,90.0,7,8,87.5,1,3,33.3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,31,2,4,21,6,1,31,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,0,0,0,0,0,"FW,MF",Match Report
21,Christoph Baumgartner,0,1,0,0,0,3,0,2024-08-31,25-030,at AUT,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,N,2,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,22,21,0,0,,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,MF,Match Report
22,Antonio Nusa,1,5,1,1,0,16,3,2024-08-31,19-136,no NOR,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,N,24,0,1,1,0,0,0,0,1,0.0,,0,0.0,19.7,0,5,7,71.4,1,1,0,0,0,85,35,2,2,100.0,3,3,100.0,0,1,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,16,5,8,6,2,1,16,3,0,2,1,0,1,1,100.0,0,1,0,1,0,3,3,0,0,0,0,0,0,"MF,DF",Match Report
23,Castello Lukeba,0,37,2,0,0,59,2,2024-08-31,21-258,fr FRA,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,45,82.2,0,4,1,0,3,633,345,20,22,90.9,13,13,100.0,3,8,37.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,59,10,24,30,6,3,59,2,1,0,2,0,0,1,0.0,1,5,2,3,1,3,4,0,0,0,0,1,2,DF,Match Report
24,Arthur Vermeeren,0,0,0,0,0,2,0,2024-08-31,19-206,be BEL,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,N,2,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,MF,Match Report
25,David Raum,0,23,1,0,0,48,3,2024-08-31,26-131,de GER,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,35,65.7,0,1,0,0,1,397,126,13,13,100.0,7,13,53.8,3,8,37.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,7,22,14,12,1,48,3,3,3,0,0,1,2,50.0,1,0,0,0,2,5,5,0,0,0,0,0,0,DF,Match Report
26,Loïs Openda,2,10,1,0,0,19,0,2024-08-31,24-197,be BEL,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,88,2,0,2,2,0,0,0,2,1.0,1.0,2,100.0,20.6,0,10,13,76.9,2,0,2,0,2,146,31,6,7,85.7,4,5,80.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,9,9,2,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,"FW,MF",Match Report
27,Amadou Haidara,0,4,0,0,0,10,1,2024-08-31,26-213,ml MLI,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,14,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,1,0,0,1,79,38,0,0,,4,4,100.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,2,0,10,1,1,0,1,0,0,0,,0,1,1,0,1,2,2,0,0,0,0,0,1,MF,Match Report
28,Kevin Kampl,2,49,1,0,0,71,1,2024-08-31,33-327,si SVN,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,88,1,0,1,1,0,0,0,2,0.5,0.5,2,100.0,18.3,0,49,57,86.0,0,2,1,0,6,741,247,25,27,92.6,20,23,87.0,3,5,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,71,6,17,42,13,1,71,1,1,1,0,0,0,1,0.0,1,2,1,1,1,2,2,0,0,0,0,0,1,MF,Match Report
29,Péter Gulácsi,0,18,0,0,0,32,0,2024-08-31,34-117,hu HUN,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,18,24,75.0,0,0,0,0,0,533,377,1,1,100.0,10,10,100.0,7,13,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,31,1,0,0,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
30,Lukas Klostermann,0,27,1,1,1,45,2,2024-08-31,28-089,de GER,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,30,90.0,0,3,0,0,4,492,153,11,11,100.0,13,13,100.0,3,5,60.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,45,9,23,15,7,0,45,2,0,1,0,1,2,4,50.0,2,5,2,3,1,3,5,1,1,0,0,1,0,DF,Match Report
31,Yussuf Poulsen,0,1,0,0,0,4,0,2024-08-31,30-077,dk DEN,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,N,2,0,0,0,0,0,0,0,0,,,0,,,0,1,3,33.3,0,0,0,0,0,8,0,1,3,33.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,"FW,MF",Match Report
32,Xavi Simons,1,26,1,1,0,42,1,2024-08-31,21-132,nl NED,RB Leipzig,@,Leverkusen,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.6,0,26,33,78.8,0,1,0,0,1,338,23,19,23,82.6,7,9,77.8,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,42,0,4,23,17,2,42,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,0,0,0,1,1,MF,Match Report
33,Benjamin Henrichs,3,38,4,0,0,64,5,2024-09-14,27-204,de GER,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,Y,78,0,0,0,0,0,0,0,3,0.0,,0,0.0,18.6,0,38,46,82.6,3,8,1,0,5,701,188,15,16,93.8,16,18,88.9,5,7,71.4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,64,4,9,39,16,3,64,5,2,2,2,1,1,3,33.3,2,1,0,1,1,6,1,0,0,0,0,1,1,DF,Match Report
34,El Chadaille Bitshiabu,0,4,0,0,0,8,0,2024-09-14,19-121,fr FRA,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,N,3,0,0,0,0,0,0,0,0,,,0,,,0,4,6,66.7,0,0,0,0,0,109,80,0,1,0.0,3,4,75.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,2,0,0,8,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,0,0,0,0,0,DF,Match Report
35,Lutsharel Geertruida,0,87,0,0,0,109,1,2024-09-14,24-058,nl NED,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,Y,87,0,0,0,0,0,0,0,0,,,0,,,0,87,100,87.0,0,9,2,0,9,1324,477,46,51,90.2,31,34,91.2,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2,16,85,8,2,109,1,1,0,1,0,0,2,0.0,2,1,0,1,1,2,4,0,0,0,0,1,1,DF,Match Report
36,Benjamin Šeško,1,13,0,0,0,28,2,2024-09-14,21-106,si SVN,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,Y,65,0,0,0,0,0,0,0,1,0.0,,0,0.0,29.1,0,13,20,65.0,0,1,0,0,0,153,5,8,13,61.5,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,15,11,0,28,2,1,0,0,2,0,0,,0,0,0,0,1,3,0,0,0,0,0,1,0,"FW,MF",Match Report
37,Christoph Baumgartner,0,2,0,0,0,6,1,2024-09-14,25-044,at AUT,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,N,12,0,0,0,0,0,0,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,24,0,1,2,50.0,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2,0,0,6,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,0,0,0,0,0,0,1,MF,Match Report
38,Antonio Nusa,0,9,1,0,0,16,1,2024-09-14,19-150,no NOR,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,N,25,0,0,0,0,0,0,0,0,,,0,,,0,9,10,90.0,0,2,0,0,3,139,35,3,4,75.0,5,5,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,4,10,2,16,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,0,1,"MF,DF",Match Report
39,Castello Lukeba,0,109,1,0,0,122,3,2024-09-14,21-272,fr FRA,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,109,113,96.5,0,7,0,0,3,1682,505,51,53,96.2,55,55,100.0,3,4,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,122,3,27,93,2,0,122,3,0,1,1,1,2,2,100.0,0,0,0,0,0,3,1,0,0,0,0,0,1,DF,Match Report
40,Arthur Vermeeren,0,13,0,0,0,18,0,2024-09-14,19-220,be BEL,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,N,25,0,0,0,0,0,0,0,0,,,0,,,0,13,16,81.3,0,0,0,0,0,184,64,7,8,87.5,4,5,80.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,5,9,4,0,18,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,MF,Match Report
41,David Raum,1,40,5,0,0,63,3,2024-09-14,26-145,de GER,RB Leipzig,,Union Berlin,de Bundesliga,D 0-0,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,28.2,1,40,57,70.2,2,1,1,0,2,636,126,17,23,73.9,20,24,83.3,1,7,14.3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,63,1,6,27,30,2,63,3,3,1,1,1,0,0,,0,1,0,1,0,3,0,0,0,0,0,0,1,DF,Match Report
