Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Max Moerstedt,1,1,0,0,1,6,0,2024-08-24,,de GER,Hoffenheim,,Holstein Kiel,de Bundesliga,W 3-2,N,1,0,0,0,0,0,0,0,1,0.0,,0,0.0,20.5,0,1,2,50.0,0,0,0,0,0,16,0,0,0,,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,3,2,2,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,0,FW,Match Report
12,Pavel Kadeřábek,0,39,6,0,0,64,2,2024-08-24,32-121,cz CZE,Hoffenheim,,Holstein Kiel,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,39,57,68.4,5,4,3,2,3,654,180,24,29,82.8,9,16,56.3,5,9,55.6,6,5,0,1,0,0,0,0,0,0,0,0,0,0,64,2,8,30,26,3,64,2,1,0,0,2,1,1,100.0,0,1,0,1,1,3,2,0,0,0,0,0,1,DF,Match Report
13,Grischa Prömel,0,37,2,1,0,53,0,2024-08-24,29-228,de GER,Hoffenheim,,Holstein Kiel,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,43,86.0,0,2,0,0,2,592,131,18,21,85.7,15,15,100.0,3,5,60.0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,53,3,12,32,9,0,53,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,3,0,0,0,0,0,3,MF,Match Report
14,Marius Bülter,2,15,4,2,0,27,1,2024-08-24,31-148,de GER,Hoffenheim,,Holstein Kiel,de Bundesliga,W 3-2,Y,68,0,1,1,0,0,0,0,2,0.0,,0,0.0,10.9,0,15,19,78.9,2,1,1,1,1,216,65,11,12,91.7,2,3,66.7,1,2,50.0,4,2,0,0,1,1,0,2,1,0,0,0,1,0,27,2,3,5,19,7,27,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,1,"FW,DF",Match Report
15,Mergim Berisha,1,5,1,0,0,9,0,2024-08-24,26-105,de GER,Hoffenheim,,Holstein Kiel,de Bundesliga,W 3-2,N,32,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.9,0,5,7,71.4,0,0,0,0,0,100,3,3,3,100.0,1,3,33.3,1,1,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,2,6,3,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,"FW,MF",Match Report
16,Florian Grillitsch,2,40,2,0,0,48,1,2024-08-24,29-017,at AUT,Hoffenheim,,Holstein Kiel,de Bundesliga,W 3-2,Y,68,0,0,0,0,0,0,0,2,0.0,,0,0.0,27.1,0,40,42,95.2,0,7,1,0,4,855,279,13,13,100.0,20,22,90.9,6,6,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,48,1,9,23,16,0,48,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,0,MF,Match Report
17,Florian Micheler,0,11,0,0,1,12,0,2024-08-31,19-106,at AUT,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,N,32,0,0,0,0,0,0,0,0,,,0,,,0,11,12,91.7,0,1,0,0,1,158,45,6,6,100.0,5,5,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,6,4,0,12,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,1,0,0,1,0,MF,Match Report
18,Tim Drexler,0,18,0,0,1,22,2,2024-08-31,19-178,de GER,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,18,19,94.7,0,2,1,0,3,264,137,11,12,91.7,5,5,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,7,15,0,0,22,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,1,0,0,1,0,DF,Match Report
19,Anton Stach,1,63,3,0,0,88,6,2024-08-31,25-290,de GER,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,36.2,0,63,74,85.1,3,6,3,2,9,1381,620,23,23,100.0,26,30,86.7,13,20,65.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,88,7,37,44,7,0,88,6,5,5,1,0,4,6,66.7,2,0,0,0,1,7,5,0,0,0,0,0,2,"MF,DF",Match Report
20,Dennis Geiger,0,20,0,0,0,30,1,2024-08-31,26-082,de GER,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,58,0,0,0,0,0,0,0,0,,,0,,,0,20,27,74.1,0,1,1,0,2,303,96,12,15,80.0,8,9,88.9,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,6,18,6,1,30,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,1,0,"MF,FW",Match Report
