Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Lukas Daschner,1,7,0,0,0,28,0,2024-08-24,25-328,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,62,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.7,0,7,15,46.7,1,0,0,0,0,138,34,3,6,50.0,2,4,50.0,2,4,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,10,17,1,28,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
12,Erhan Mašović,1,35,0,0,0,48,2,2024-08-24,25-276,rs SRB,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,17.9,0,35,39,89.7,0,2,0,0,3,770,272,9,9,100.0,21,23,91.3,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,28,20,1,1,48,2,2,1,1,0,1,1,100.0,0,1,1,0,0,2,5,0,0,0,0,1,0,DF,Match Report
13,Patrick Drewes,0,23,0,0,0,39,0,2024-08-24,31-202,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,38,60.5,0,1,0,0,0,909,793,2,2,100.0,9,9,100.0,12,27,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,39,0,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
14,Matúš Bero,0,30,2,0,1,46,0,2024-08-24,28-353,sk SVK,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,37,81.1,1,5,0,0,4,506,121,12,14,85.7,15,16,93.8,2,4,50.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,46,4,5,30,11,0,46,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,1,1,0,0,3,2,MF,Match Report
15,Moritz Broschinski,2,4,2,0,0,20,1,2024-08-24,23-336,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,85,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,17.7,0,4,8,50.0,1,0,0,0,0,67,0,1,2,50.0,2,3,66.7,0,0,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,20,2,3,7,10,4,20,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,0,0,0,0,0,"FW,MF",Match Report
16,Maximilian Wittek,2,34,3,0,1,65,1,2024-08-24,29-003,de GER,Bochum,@,RB Leipzig,de Bundesliga,L 0-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,28.3,1,34,49,69.4,1,7,1,0,5,591,269,13,15,86.7,20,24,83.3,1,9,11.1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,65,6,16,37,12,0,65,1,0,0,1,0,1,2,50.0,1,5,1,4,2,3,4,0,1,0,0,1,0,DF,Match Report
17,Anthony Losilla,0,5,2,0,0,14,0,2024-08-31,38-174,fr FRA,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,45,0,0,0,0,0,0,0,0,,,0,,,0,5,7,71.4,1,1,2,1,1,107,47,1,3,33.3,4,4,100.0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,9,4,0,14,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,1,0,0,0,0,0,0,MF,Match Report
18,Ibrahima Sissoko,1,30,2,0,0,48,2,2024-08-31,26-309,ml MLI,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,80,0,0,0,0,0,0,0,1,0.0,,0,0.0,26.6,0,30,35,85.7,2,2,0,0,7,496,139,16,18,88.9,14,17,82.4,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,48,8,15,25,8,1,48,2,1,0,2,0,1,1,100.0,0,1,1,0,0,2,5,0,0,0,0,1,1,MF,Match Report
19,Mats Pannewig,1,2,0,0,1,9,0,2024-08-31,19-308,de GER,Bochum,,Gladbach,de Bundesliga,L 0-2,N,10,0,0,0,0,0,0,0,1,0.0,,0,0.0,11.1,0,2,3,66.7,0,0,0,0,1,20,10,2,2,100.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5,3,1,9,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,1,0,0,2,0,MF,Match Report
20,Dani de Wit,0,19,1,0,0,36,2,2024-08-31,26-216,nl NED,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,19,26,73.1,0,2,1,1,2,329,108,7,10,70.0,9,11,81.8,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,7,21,8,1,36,2,2,1,1,0,1,2,50.0,1,3,0,3,2,4,2,0,0,0,0,1,0,"MF,FW",Match Report
