Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Michael Olise,1,30,7,0,0,51,0,2024-08-25,22-257,fr FRA,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,74,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.6,0,30,39,76.9,5,3,3,1,7,428,161,17,20,85.0,8,11,72.7,3,6,50.0,7,5,1,0,0,1,0,0,0,0,0,0,0,0,51,1,5,21,27,2,51,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,0,0,0,1,2,"FW,MF",Match Report
12,Dayot Upamecano,1,105,1,0,0,124,2,2024-08-25,25-303,fr FRA,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,8.5,0,105,118,89.0,1,5,1,0,5,1962,685,37,41,90.2,58,64,90.6,9,10,90.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,124,5,52,69,3,1,124,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,2,0,0,0,0,0,1,DF,Match Report
13,Alphonso Davies,0,42,2,0,0,56,1,2024-08-25,23-297,ca CAN,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,42,47,89.4,1,0,1,0,2,538,118,30,33,90.9,12,13,92.3,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,56,1,16,29,11,1,56,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,0,0,0,0,1,DF,Match Report
14,Kim Min-jae,0,60,1,0,0,79,0,2024-08-25,27-284,kr KOR,Bayern Munich,@,Wolfsburg,de Bundesliga,W 3-2,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,60,76,78.9,0,5,0,0,2,902,275,34,42,81.0,23,26,88.5,2,4,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79,10,35,39,5,1,79,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,0,0,0,1,0,DF,Match Report
15,Kingsley Coman,2,11,1,0,0,27,1,2024-09-01,28-080,fr FRA,Bayern Munich,,Freiburg,de Bundesliga,W 2-0,N,32,0,0,0,0,0,0,0,2,0.0,,0,0.0,16.3,0,11,17,64.7,0,2,0,0,0,194,29,6,8,75.0,3,6,50.0,2,2,100.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,5,9,13,4,27,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,1,0,0,0,0,0,1,FW,Match Report
16,Raphaël Guerreiro,1,79,1,0,0,104,4,2024-09-01,30-254,pt POR,Bayern Munich,,Freiburg,de Bundesliga,W 2-0,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,21.1,0,79,96,82.3,0,3,1,0,2,1106,359,52,59,88.1,25,28,89.3,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,104,4,40,44,20,1,104,4,3,2,1,1,3,3,100.0,0,0,0,0,0,4,2,0,0,0,0,1,1,"DF,MF",Match Report
17,Harry Kane,2,21,3,1,0,35,0,2024-09-01,31-035,eng ENG,Bayern Munich,,Freiburg,de Bundesliga,W 2-0,Y,90,1,0,1,0,1,1,0,2,0.0,,0,0.0,16.5,0,21,26,80.8,1,7,0,0,3,460,121,10,14,71.4,6,7,85.7,5,5,100.0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,35,1,3,19,13,6,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,2,1,FW,Match Report
18,Aleksandar Pavlovic,0,65,0,0,0,74,1,2024-09-01,20-121,de GER,Bayern Munich,,Freiburg,de Bundesliga,W 2-0,Y,73,0,0,0,0,0,0,0,0,,,0,,,0,65,68,95.6,0,6,0,0,5,919,267,48,50,96.0,14,14,100.0,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,14,54,6,0,74,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,2,0,0,0,0,1,2,MF,Match Report
19,Jamal Musiala,0,38,5,0,0,55,0,2024-09-01,21-188,de GER,Bayern Munich,,Freiburg,de Bundesliga,W 2-0,Y,73,0,0,0,0,0,0,0,0,,,0,,,0,38,46,82.6,3,2,2,0,4,513,150,22,25,88.0,14,17,82.4,0,1,0.0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,55,0,5,33,18,3,55,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,MF,Match Report
20,Thomas Müller,1,18,1,1,0,24,0,2024-09-01,34-354,de GER,Bayern Munich,,Freiburg,de Bundesliga,W 2-0,N,32,1,0,1,1,0,0,0,1,1.0,1.0,1,100.0,10.2,0,18,21,85.7,0,2,0,0,4,348,96,8,8,100.0,7,9,77.8,3,4,75.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,24,1,3,11,10,2,24,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,0,0,0,1,0,"MF,FW",Match Report
