Nombre,Posición,Edad,Nacionalidad,Altura,Pie hábil,Contrato,Valor de mercado,Equipo,Liga,Lesión
Diant Ramaj,Goalkeeper,24,"['Germany', 'Kosovo']",189,right,6/30/2026,7000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Frank Feller,Goalkeeper,21,['Germany'],183,right,6/30/2029,500000,1.FCHeidenheim1846,Bundesliga,Torn lateral knee ligament - Return unknown
Kevin Müller,Goalkeeper,34,['Germany'],190,right,6/30/2027,400000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Paul Tschernuth,Goalkeeper,23,['Austria'],186,left,6/30/2027,100000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Benedikt Gimber,Centre-Back,28,['Germany'],187,left,6/30/2028,3000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Patrick Mainka,Centre-Back,30,['Germany'],194,right,6/30/2029,3000000,1.FCHeidenheim1846,Bundesliga,Team captain
Tim Siersleben,Centre-Back,25,['Germany'],187,left,6/30/2028,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Adam Kölle,Centre-Back,19,['Germany'],195,right,6/30/2026,800000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Thomas Keller,Centre-Back,26,['Germany'],186,right,6/30/2028,500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Jonas Föhrenbach,Left-Back,29,['Germany'],184,left,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Leart Paçarada,Left-Back,31,"['Kosovo', 'Germany']",184,left,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Cruciate ligament tear - Return unknown
Omar Traoré,Right-Back,27,"['Germany', 'Togo']",187,right,6/30/2026,4000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Marnon Busch,Right-Back,30,['Germany'],182,right,6/30/2027,1200000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Niklas Dorsch,Defensive Midfield,27,['Germany'],178,right,6/30/2028,3500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Julian Niehues,Defensive Midfield,24,['Germany'],195,right,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Jan Schöppner,Central Midfield,26,['Germany'],190,right,6/30/2028,4000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Luca Kerber,Central Midfield,23,['Germany'],184,right,6/30/2027,2500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Nick Rothweiler,Central Midfield,19,['Germany'],190,left,6/30/2027,,1.FCHeidenheim1846,Bundesliga,Sin lesión
Arijon Ibrahimovic,Attacking Midfield,19,"['Germany', 'Kosovo']",178,right,6/30/2026,4000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Adrian Beck,Attacking Midfield,28,['Germany'],186,right,6/30/2028,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Mathias Honsak,Left Winger,28,['Austria'],188,left,6/30/2027,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Yannik Wagner,Left Winger,18,['Germany'],182,left,6/30/2029,500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Sirlord Conteh,Right Winger,29,"['Germany', 'Ghana']",178,right,6/30/2027,1500000,1.FCHeidenheim1846,Bundesliga,Meniscus tear - Return unknown
Marvin Pieringer,Centre-Forward,26,['Germany'],191,right,6/30/2027,5500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Budu Zivzivadze,Centre-Forward,31,['Georgia'],189,both,6/30/2029,2000000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Mikkel Kaufmann,Centre-Forward,24,['Denmark'],189,right,6/30/2028,1800000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Stefan Schimmer,Centre-Forward,31,['Germany'],185,right,6/30/2026,500000,1.FCHeidenheim1846,Bundesliga,Sin lesión
Frederik Rönnow,Goalkeeper,33,['Denmark'],188,right,,3000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Matheo Raab,Goalkeeper,26,['Germany'],186,right,,600000,1.FCUnionBerlin,Bundesliga,Sin lesión
Carl Klaus,Goalkeeper,31,['Germany'],189,right,,350000,1.FCUnionBerlin,Bundesliga,Sin lesión
Leopold Querfeld,Centre-Back,21,['Austria'],190,right,,15000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Danilho Doekhi,Centre-Back,27,"['Netherlands', 'Suriname']",190,right,6/30/2026,13000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Diogo Leite,Centre-Back,26,['Portugal'],190,left,6/30/2026,12000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Stanley Nsoki,Centre-Back,26,"['France', 'DR Congo']",184,left,6/30/2026,2500000,1.FCUnionBerlin,Bundesliga,Sin lesión
Oluwaseun Ogbemudia,Centre-Back,19,"['Germany', 'Nigeria']",188,right,6/30/2026,,1.FCUnionBerlin,Bundesliga,Sin lesión
Tom Rothe,Left-Back,20,['Germany'],193,left,,10000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Derrick Köhn,Left-Back,26,"['Ghana', 'Germany']",180,left,6/30/2029,5000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Andrik Markgraf,Left-Back,19,['Germany'],172,left,,,1.FCUnionBerlin,Bundesliga,fatigue fracture - Return unknown
Josip Juranovic,Right-Back,30,['Croatia'],173,right,,3000000,1.FCUnionBerlin,Bundesliga,Fitness - Return unknown
Christopher Trimmel,Right-Back,38,['Austria'],189,right,6/30/2026,600000,1.FCUnionBerlin,Bundesliga,Team captain
Aljoscha Kemlein,Defensive Midfield,21,['Germany'],187,right,,7000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Rani Khedira,Defensive Midfield,31,"['Germany', 'Tunisia']",189,right,6/30/2026,2500000,1.FCUnionBerlin,Bundesliga,Sin lesión
András Schäfer,Central Midfield,26,['Hungary'],178,right,6/30/2027,5000000,1.FCUnionBerlin,Bundesliga,Knock - Return unknown
Alex Král,Central Midfield,27,['Czech Republic'],186,right,,5000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Janik Haberer,Central Midfield,31,['Germany'],187,right,6/30/2027,2500000,1.FCUnionBerlin,Bundesliga,Sin lesión
Robert Skov,Left Midfield,29,['Denmark'],185,left,,4000000,1.FCUnionBerlin,Bundesliga,Knock - Return unknown
Woo-yeong Jeong,Attacking Midfield,26,"['Korea, South']",179,right,,4000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Livan Burcu,Left Winger,21,"['Türkiye', 'Germany']",180,right,,4000000,1.FCUnionBerlin,Bundesliga,Ankle injury - Return unknown
David Preu,Left Winger,20,['Germany'],172,right,,400000,1.FCUnionBerlin,Bundesliga,Sin lesión
Ilyas Ansah,Centre-Forward,20,"['Germany', 'Ghana']",197,right,,10000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Andrej Ilic,Centre-Forward,25,['Serbia'],189,right,6/30/2027,6000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Oliver Burke,Centre-Forward,28,['Scotland'],188,right,6/30/2029,4000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Marin Ljubicic,Centre-Forward,23,['Croatia'],183,right,,3000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Tim Skarke,Centre-Forward,29,['Germany'],181,right,,2000000,1.FCUnionBerlin,Bundesliga,Sin lesión
Dmytro Bogdanov,Centre-Forward,18,['Ukraine'],188,right,6/30/2029,250000,1.FCUnionBerlin,Bundesliga,Sin lesión
Robin Zentner,Goalkeeper,30,['Germany'],194,right,6/30/2028,4000000,1.FSVMainz05,Bundesliga,Sin lesión
Lasse Rieß,Goalkeeper,24,['Germany'],192,right,6/30/2027,400000,1.FSVMainz05,Bundesliga,Sin lesión
Daniel Batz,Goalkeeper,34,['Germany'],191,both,6/30/2026,250000,1.FSVMainz05,Bundesliga,Sin lesión
Andreas Hanche-Olsen,Centre-Back,28,['Norway'],185,right,6/30/2028,6000000,1.FSVMainz05,Bundesliga,Sin lesión
Dominik Kohr,Centre-Back,31,['Germany'],183,right,6/30/2028,3500000,1.FSVMainz05,Bundesliga,special leave -  - cross-competition
Maxim Leitsch,Centre-Back,27,['Germany'],189,left,6/30/2026,1500000,1.FSVMainz05,Bundesliga,influenza - Return unknown
Danny da Costa,Centre-Back,32,"['Germany', 'Angola']",187,right,6/30/2026,1500000,1.FSVMainz05,Bundesliga,Sin lesión
Stefan Bell,Centre-Back,34,['Germany'],192,right,6/30/2026,800000,1.FSVMainz05,Bundesliga,Sin lesión
Konstantin Schopp,Centre-Back,19,['Austria'],195,right,6/30/2029,400000,1.FSVMainz05,Bundesliga,Sin lesión
Maxim Dal,Centre-Back,19,"['Germany', 'Türkiye']",188,left,6/30/2027,150000,1.FSVMainz05,Bundesliga,Cruciate ligament tear - Return unknown
Phillipp Mwene,Left-Back,31,"['Austria', 'Kenya']",170,right,6/30/2026,1800000,1.FSVMainz05,Bundesliga,Sin lesión
Kasey Bos,Left-Back,21,"['Australia', 'Netherlands']",186,left,6/30/2029,450000,1.FSVMainz05,Bundesliga,No eligibility - until 19/12/2025 - UEFA Conference League - 6 matchdays
Anthony Caci,Right-Back,28,['France'],184,both,6/30/2026,12000000,1.FSVMainz05,Bundesliga,Hamstring injury - Return expected on 31/12/2025
Nikolas Veratschnig,Right-Back,22,['Austria'],180,right,6/30/2028,1500000,1.FSVMainz05,Bundesliga,Sin lesión
Silvan Widmer,Right-Back,32,['Switzerland'],183,right,6/30/2026,1200000,1.FSVMainz05,Bundesliga,Team captain
Kaishu Sano,Defensive Midfield,24,['Japan'],176,right,6/30/2028,25000000,1.FSVMainz05,Bundesliga,Sin lesión
Lennard Maloney,Defensive Midfield,26,"['United States', 'Germany']",188,right,6/30/2028,3500000,1.FSVMainz05,Bundesliga,Sin lesión
Sota Kawasaki,Defensive Midfield,24,['Japan'],172,both,6/30/2026,1200000,1.FSVMainz05,Bundesliga,Sin lesión
Niklas Tauer,Defensive Midfield,24,['Germany'],183,right,,500000,1.FSVMainz05,Bundesliga,No eligibility - until 19/12/2025 - UEFA Conference League - 6 matchdays
Nadiem Amiri,Central Midfield,28,['Germany'],180,right,6/30/2028,20000000,1.FSVMainz05,Bundesliga,Sin lesión
Daniel Gleiber,Central Midfield,20,['Germany'],181,left,6/30/2028,225000,1.FSVMainz05,Bundesliga,Sin lesión
Paul Nebel,Attacking Midfield,23,"['Germany', 'Ireland']",169,both,6/30/2027,24000000,1.FSVMainz05,Bundesliga,Sin lesión
Jae-sung Lee,Attacking Midfield,33,"['Korea, South']",180,left,6/30/2026,2500000,1.FSVMainz05,Bundesliga,Sin lesión
Arnaud Nordin,Right Winger,27,"['France', 'Martinique']",170,both,6/30/2028,5000000,1.FSVMainz05,Bundesliga,Sin lesión
Armindo Sieb,Second Striker,22,"['Germany', 'Mozambique']",175,both,6/30/2026,4000000,1.FSVMainz05,Bundesliga,Sin lesión
Nelson Weiper,Centre-Forward,20,"['Germany', 'Albania']",192,right,6/30/2029,15000000,1.FSVMainz05,Bundesliga,influenza - Return unknown
Benedict Hollerbach,Centre-Forward,24,['Germany'],181,both,6/30/2029,12000000,1.FSVMainz05,Bundesliga,Sin lesión
William Bøving,Centre-Forward,22,['Denmark'],176,both,6/30/2029,8000000,1.FSVMainz05,Bundesliga,Sin lesión
Ben Bobzien,Centre-Forward,22,['Germany'],176,right,6/30/2027,1200000,1.FSVMainz05,Bundesliga,Sin lesión
Mark Flekken,Goalkeeper,32,['Netherlands'],195,both,6/30/2028,10000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Janis Blaswich,Goalkeeper,34,['Germany'],193,right,6/30/2027,700000,Bayer04Leverkusen,Bundesliga,Sin lesión
Niklas Lomb,Goalkeeper,32,['Germany'],186,right,6/30/2027,250000,Bayer04Leverkusen,Bundesliga,Sin lesión
Jarell Quansah,Centre-Back,22,"['England', 'Scotland']",190,right,6/30/2030,35000000,Bayer04Leverkusen,Bundesliga,Patellar tendon irritation - Return unknown
Edmond Tapsoba,Centre-Back,26,['Burkina Faso'],194,right,6/30/2028,35000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Loïc Badé,Centre-Back,25,"['France', ""Cote d'Ivoire""]",191,right,6/30/2030,25000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Jeanuël Belocian,Centre-Back,20,"['France', 'Guadeloupe']",186,left,6/30/2029,12000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Axel Tape,Centre-Back,18,"['France', ""Cote d'Ivoire""]",180,right,6/30/2030,8000000,Bayer04Leverkusen,Bundesliga,Hamstring injury - Return expected on 19/11/2025
Alejandro Grimaldo,Left-Back,30,['Spain'],171,left,6/30/2027,30000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Arthur,Right-Back,22,['Brazil'],174,right,6/30/2028,7000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Lucas Vázquez,Right-Back,34,['Spain'],173,right,6/30/2027,3000000,Bayer04Leverkusen,Bundesliga,muscular problems - Return unknown
Equi Fernández,Defensive Midfield,23,"['Argentina', 'Paraguay']",178,left,6/30/2030,25000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Robert Andrich,Defensive Midfield,31,['Germany'],187,right,6/30/2028,9000000,Bayer04Leverkusen,Bundesliga,Team captain
Exequiel Palacios,Central Midfield,27,['Argentina'],178,right,6/30/2030,30000000,Bayer04Leverkusen,Bundesliga,No eligibility - until 29/01/2026 - UEFA Champions League - 8 matchdays; Adductor injury - Return expected on 31/12/2025
Aleix García,Central Midfield,28,['Spain'],173,right,6/30/2029,20000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Malik Tillman,Attacking Midfield,23,"['United States', 'Germany']",187,right,6/30/2030,35000000,Bayer04Leverkusen,Bundesliga,Muscle injury - Return expected on 03/11/2025
Claudio Echeverri,Attacking Midfield,19,['Argentina'],171,right,6/30/2026,18000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Ibrahim Maza,Attacking Midfield,19,"['Algeria', 'Germany']",180,right,6/30/2030,12000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Jonas Hofmann,Attacking Midfield,33,['Germany'],176,right,6/30/2027,2000000,Bayer04Leverkusen,Bundesliga,No eligibility - until 29/01/2026 - UEFA Champions League - 8 matchdays
Eliesse Ben Seghir,Left Winger,20,"['Morocco', 'France']",178,right,6/30/2030,28000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Martin Terrier,Left Winger,28,['France'],184,right,6/30/2029,17000000,Bayer04Leverkusen,Bundesliga,No eligibility - until 29/01/2026 - UEFA Champions League - 8 matchdays
Nathan Tella,Right Winger,26,"['Nigeria', 'England']",173,right,6/30/2028,15000000,Bayer04Leverkusen,Bundesliga,Knee bruise - Return unknown
Ernest Poku,Right Winger,21,"['Netherlands', 'Ghana']",176,right,6/30/2030,10000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Patrik Schick,Centre-Forward,29,['Czech Republic'],191,left,6/30/2030,27000000,Bayer04Leverkusen,Bundesliga,Hamstring injury - Return unknown
Christian Kofane,Centre-Forward,19,['Cameroon'],189,right,6/30/2029,12000000,Bayer04Leverkusen,Bundesliga,Sin lesión
Alejo Sarco,Centre-Forward,19,"['Argentina', 'Italy']",179,left,6/30/2029,800000,Bayer04Leverkusen,Bundesliga,Called up to national team - until 22/10/2025 - cross-competition
Gregor Kobel,Goalkeeper,27,['Switzerland'],196,right,6/30/2028,40000000,BorussiaDortmund,Bundesliga,Sin lesión
Alexander Meyer,Goalkeeper,34,['Germany'],195,right,6/30/2026,800000,BorussiaDortmund,Bundesliga,Sin lesión
Patrick Drewes,Goalkeeper,32,['Germany'],194,right,6/30/2027,500000,BorussiaDortmund,Bundesliga,No eligibility - until 29/01/2026 - UEFA Champions League - 8 matchdays
Silas Ostrzinski,Goalkeeper,21,"['Germany', 'Poland']",198,right,6/30/2027,200000,BorussiaDortmund,Bundesliga,Sin lesión
Nico Schlotterbeck,Centre-Back,25,['Germany'],191,left,6/30/2027,40000000,BorussiaDortmund,Bundesliga,Sin lesión
Waldemar Anton,Centre-Back,29,['Germany'],189,right,6/30/2028,18000000,BorussiaDortmund,Bundesliga,Sin lesión
Niklas Süle,Centre-Back,30,['Germany'],195,right,6/30/2026,8000000,BorussiaDortmund,Bundesliga,Sin lesión
Aarón Anselmino,Centre-Back,20,['Argentina'],186,right,6/30/2026,8000000,BorussiaDortmund,Bundesliga,Sin lesión
Emre Can,Centre-Back,31,"['Germany', 'Türkiye']",186,right,6/30/2026,7000000,BorussiaDortmund,Bundesliga,Team captain; Adductor pain - Return unknown
Filippo Mane,Centre-Back,20,"['Italy', 'Senegal']",188,right,6/30/2028,2500000,BorussiaDortmund,Bundesliga,Sin lesión
Ramy Bensebaini,Left-Back,30,['Algeria'],187,left,6/30/2027,7000000,BorussiaDortmund,Bundesliga,Sin lesión
Almugera Kabar,Left-Back,19,"['Germany', 'Libya']",186,left,6/30/2028,3000000,BorussiaDortmund,Bundesliga,Sin lesión
Yan Couto,Right-Back,23,"['Brazil', 'Portugal']",168,right,6/30/2030,20000000,BorussiaDortmund,Bundesliga,Sin lesión
Julian Ryerson,Right-Back,27,"['Norway', 'United States']",183,right,6/30/2028,20000000,BorussiaDortmund,Bundesliga,Sin lesión
Salih Özcan,Defensive Midfield,27,"['Türkiye', 'Germany']",183,right,6/30/2026,4000000,BorussiaDortmund,Bundesliga,No eligibility - until 29/01/2026 - UEFA Champions League - 8 matchdays
Felix Nmecha,Central Midfield,25,"['Germany', 'England']",190,right,6/30/2028,35000000,BorussiaDortmund,Bundesliga,Sin lesión
Jobe Bellingham,Central Midfield,20,"['England', 'Ireland']",191,right,6/30/2030,30000000,BorussiaDortmund,Bundesliga,Sin lesión
Carney Chukwuemeka,Central Midfield,22,"['England', 'Nigeria']",188,right,6/30/2030,20000000,BorussiaDortmund,Bundesliga,Sin lesión
Marcel Sabitzer,Central Midfield,31,['Austria'],178,right,6/30/2027,8000000,BorussiaDortmund,Bundesliga,Sin lesión
Pascal Groß,Central Midfield,34,['Germany'],181,right,6/30/2026,5000000,BorussiaDortmund,Bundesliga,Sin lesión
Daniel Svensson,Left Midfield,23,['Sweden'],183,left,6/30/2029,22000000,BorussiaDortmund,Bundesliga,Sin lesión
Julian Brandt,Attacking Midfield,29,['Germany'],185,right,6/30/2026,25000000,BorussiaDortmund,Bundesliga,Sin lesión
Julien Duranville,Left Winger,19,['Belgium'],173,right,,8500000,BorussiaDortmund,Bundesliga,Acromioclavicular joint dislocation - Return unknown
Karim Adeyemi,Right Winger,23,"['Germany', 'Nigeria']",180,left,6/30/2027,60000000,BorussiaDortmund,Bundesliga,Sin lesión
Cole Campbell,Right Winger,19,"['United States', 'Iceland']",170,left,6/30/2028,5000000,BorussiaDortmund,Bundesliga,Called up to national team -  - cross-competition
Serhou Guirassy,Centre-Forward,29,"['Guinea', 'France']",187,right,6/30/2028,45000000,BorussiaDortmund,Bundesliga,Sin lesión
Maximilian Beier,Centre-Forward,23,['Germany'],185,right,6/30/2029,30000000,BorussiaDortmund,Bundesliga,Sin lesión
Fábio Silva,Centre-Forward,23,['Portugal'],185,right,6/30/2030,28000000,BorussiaDortmund,Bundesliga,Sin lesión
Moritz Nicolas,Goalkeeper,28,['Germany'],193,right,6/30/2029,5000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Jonas Omlin,Goalkeeper,31,['Switzerland'],190,right,6/30/2027,2000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Tiago Pereira Cardoso,Goalkeeper,19,"['Luxembourg', 'Portugal']",190,right,,1500000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Tobias Sippel,Goalkeeper,37,['Germany'],183,right,6/30/2026,300000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Nico Elvedi,Centre-Back,29,['Switzerland'],189,right,6/30/2027,8000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Kevin Diks,Centre-Back,29,"['Indonesia', 'Netherlands']",186,right,6/30/2030,5000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Fabio Chiarodia,Centre-Back,20,"['Italy', 'Germany']",186,left,6/30/2027,3000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Marvin Friedrich,Centre-Back,29,['Germany'],193,right,6/30/2026,2000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Lukas Ullrich,Left-Back,21,['Germany'],180,left,6/30/2027,8000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Luca Netz,Left-Back,22,['Germany'],184,left,6/30/2026,6000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Joe Scally,Right-Back,22,['United States'],184,right,6/30/2027,7000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Yannik Engelhardt,Defensive Midfield,24,['Germany'],184,right,6/30/2026,6000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Niklas Swider,Defensive Midfield,18,['Germany'],188,right,6/30/2027,250000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Rocco Reitz,Central Midfield,23,['Germany'],176,right,6/30/2028,15000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Jens Castrop,Central Midfield,22,"['Korea, South', 'Germany']",178,right,6/30/2029,6000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Philipp Sander,Central Midfield,27,['Germany'],186,both,6/30/2028,4000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Florian Neuhaus,Central Midfield,28,['Germany'],185,right,6/30/2027,3500000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Oscar Fraulo,Central Midfield,21,"['Denmark', 'Italy']",180,right,6/30/2026,3500000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Giovanni Reyna,Attacking Midfield,22,"['United States', 'Portugal']",187,right,6/30/2028,7000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Kevin Stöger,Attacking Midfield,32,['Austria'],175,left,6/30/2027,3500000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Wael Mohya,Attacking Midfield,16,"['Germany', 'Morocco']",176,right,6/30/2027,1000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Robin Hack,Left Winger,27,['Germany'],178,right,6/30/2029,12000000,BorussiaMonchengladbach,Bundesliga,Meniscus tear - Return expected on 03/11/2025
Franck Honorat,Right Winger,29,['France'],180,right,6/30/2029,12000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Nathan Ngoumou,Right Winger,25,"['Cameroon', 'France']",185,right,6/30/2027,4000000,BorussiaMonchengladbach,Bundesliga,Achilles tendon rupture - Return expected on 01/12/2025
Charles Herrmann,Right Winger,19,"['Germany', 'Ghana']",180,left,6/30/2028,1000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Tim Kleindienst,Centre-Forward,30,['Germany'],194,both,6/30/2028,17000000,BorussiaMonchengladbach,Bundesliga,Team captain; Meniscus injury - Return expected on 17/11/2025
Shuto Machino,Centre-Forward,26,['Japan'],185,right,6/30/2029,7000000,BorussiaMonchengladbach,Bundesliga,Ill - Return unknown
Haris Tabakovic,Centre-Forward,31,"['Bosnia-Herzegovina', 'Switzerland']",196,right,6/30/2026,2500000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Grant-Leon Ranos,Centre-Forward,22,"['Armenia', 'Germany']",180,right,6/30/2027,1000000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Jan Urbich,Centre-Forward,21,['Germany'],188,right,6/30/2027,125000,BorussiaMonchengladbach,Bundesliga,Sin lesión
Kauã Santos,Goalkeeper,22,['Brazil'],197,right,6/30/2030,10000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Michael Zetterer,Goalkeeper,30,['Germany'],187,both,6/30/2029,4500000,EintrachtFrankfurt,Bundesliga,Sin lesión
Jens Grahl,Goalkeeper,37,['Germany'],192,right,6/30/2026,200000,EintrachtFrankfurt,Bundesliga,Sin lesión
Amil Siljevic,Goalkeeper,18,"['Bosnia-Herzegovina', 'Germany']",190,right,6/30/2026,,EintrachtFrankfurt,Bundesliga,Sin lesión
Arthur Theate,Centre-Back,25,['Belgium'],185,left,6/30/2029,24000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Robin Koch,Centre-Back,29,['Germany'],192,right,6/30/2030,18000000,EintrachtFrankfurt,Bundesliga,Team captain
Nnamdi Collins,Centre-Back,21,"['Germany', 'Nigeria']",191,right,6/30/2030,18000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Aurèle Amenda,Centre-Back,22,"['Switzerland', 'Cameroon']",197,right,6/30/2029,7500000,EintrachtFrankfurt,Bundesliga,Sin lesión
Nathaniel Brown,Left-Back,22,"['Germany', 'United States']",180,left,6/30/2030,30000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Rasmus Kristensen,Right-Back,28,['Denmark'],187,right,6/30/2029,14000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Elias Baum,Right-Back,19,['Germany'],180,right,6/30/2028,8000000,EintrachtFrankfurt,Bundesliga,Hamstring injury - Return unknown
Aurélio Buta,Right-Back,28,"['Portugal', 'Angola']",172,right,6/30/2026,5000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Timothy Chandler,Right-Back,35,"['United States', 'Germany']",187,right,6/30/2026,350000,EintrachtFrankfurt,Bundesliga,Sin lesión
Ellyes Skhiri,Defensive Midfield,30,"['Tunisia', 'France']",185,right,6/30/2027,7500000,EintrachtFrankfurt,Bundesliga,Sin lesión
Noah Fenyö,Defensive Midfield,19,"['Hungary', 'Germany']",182,both,6/30/2029,350000,EintrachtFrankfurt,Bundesliga,Sin lesión
Hugo Larsson,Central Midfield,21,['Sweden'],187,right,6/30/2029,40000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Oscar Højlund,Central Midfield,20,['Denmark'],187,right,6/30/2029,7500000,EintrachtFrankfurt,Bundesliga,Muscle injury - Return unknown
Mahmoud Dahoud,Central Midfield,29,"['Syria', 'Germany']",178,right,6/30/2026,2000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Can Uzun,Attacking Midfield,19,"['Türkiye', 'Germany']",186,right,6/30/2029,45000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Farès Chaïbi,Attacking Midfield,22,"['Algeria', 'France']",183,right,6/30/2028,15000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Mario Götze,Attacking Midfield,33,['Germany'],176,right,6/30/2026,4000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Jean-Mattéo Bahoya,Left Winger,20,"['France', 'Cameroon']",180,right,6/30/2029,25000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Ritsu Doan,Right Winger,27,['Japan'],172,left,6/30/2030,25000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Ansgar Knauff,Right Winger,23,"['Germany', 'Ghana']",180,right,6/30/2028,15000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Jonathan Burkardt,Centre-Forward,25,['Germany'],183,right,6/30/2030,35000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Elye Wahi,Centre-Forward,22,"['France', ""Cote d'Ivoire""]",184,right,6/30/2030,18000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Michy Batshuayi,Centre-Forward,32,"['Belgium', 'DR Congo']",185,right,6/30/2027,4000000,EintrachtFrankfurt,Bundesliga,Sin lesión
Jessic Ngankam,Centre-Forward,25,"['Germany', 'Cameroon']",184,right,6/30/2028,1000000,EintrachtFrankfurt,Bundesliga,No eligibility - until 29/01/2026 - UEFA Champions League - 8 matchdays
Finn Dahmen,Goalkeeper,27,"['Germany', 'England']",186,right,6/30/2027,12000000,FCAugsburg,Bundesliga,Sin lesión
Nediljko Labrovic,Goalkeeper,26,['Croatia'],196,right,6/30/2029,2500000,FCAugsburg,Bundesliga,Sin lesión
