Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
201,Darwin Núñez,3,9,1,0,1,23,1,2024-12-04,25-163,uy URU,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,90,0,0,0,0,0,0,0,3,0.0,,0,0.0,8.3,0,9,13,69.2,0,0,0,0,1,171,17,3,4,75.0,4,6,66.7,2,2,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,7,12,3,23,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,1,0,0,2,2,FW,Match Report
202,Curtis Jones,3,56,2,1,0,69,2,2024-12-04,23-309,eng ENG,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,90,1,0,1,1,0,0,0,3,0.33,0.5,2,66.7,13.7,0,56,60,93.3,1,2,2,0,5,786,140,37,38,97.4,18,20,90.0,1,1,100.0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,69,1,14,28,28,4,69,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,2,3,"MF,DF",Match Report
203,Caoimhín Kelleher,0,36,0,0,0,46,0,2024-12-04,26-011,ie IRL,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,36,45,80.0,0,0,0,0,0,723,442,17,17,100.0,13,13,100.0,6,15,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,46,0,0,0,46,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,GK,Match Report
204,Joe Gomez,0,48,0,0,0,62,0,2024-12-04,27-195,eng ENG,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,66,0,0,0,0,0,0,0,0,,,0,,,0,48,53,90.6,0,2,0,0,2,794,406,21,21,100.0,26,27,96.3,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,12,32,30,0,0,62,0,0,0,0,0,0,2,0.0,2,2,2,0,1,1,5,2,0,0,0,0,1,DF,Match Report
205,Alexis Mac Allister,3,41,8,1,1,65,7,2024-12-04,25-346,ar ARG,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,90,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,19.1,0,41,47,87.2,2,3,2,0,8,585,208,27,29,93.1,10,12,83.3,3,4,75.0,8,5,2,1,0,0,0,1,1,0,0,0,0,0,65,1,12,32,21,2,65,7,3,3,3,1,3,4,75.0,1,3,0,3,0,7,2,0,1,0,0,3,1,MF,Match Report
206,Dominik Szoboszlai,0,15,1,1,0,18,1,2024-12-04,24-040,hu HUN,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,N,24,0,0,0,0,0,0,0,0,,,0,,,0,15,15,100.0,0,0,0,0,2,171,27,10,10,100.0,4,4,100.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,18,0,2,7,9,0,18,1,1,0,0,1,0,2,0.0,2,1,0,1,0,1,0,0,0,0,0,1,0,MF,Match Report
207,Ryan Gravenberch,0,47,0,0,1,61,0,2024-12-04,22-202,nl NED,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,66,0,0,0,0,0,0,0,0,,,0,,,0,47,53,88.7,0,4,0,0,2,557,58,37,38,97.4,9,10,90.0,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,10,49,3,0,61,0,0,0,0,0,0,1,0.0,1,1,1,0,4,4,0,0,1,0,0,2,1,MF,Match Report
208,Trent Alexander-Arnold,0,14,4,2,1,20,0,2024-12-04,26-058,eng ENG,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,N,24,0,2,2,0,0,0,0,0,,,0,,,0,14,18,77.8,3,4,1,0,4,195,129,9,10,90.0,3,3,100.0,1,4,25.0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,20,0,1,10,9,2,20,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,0,0,1,0,0,1,0,DF,Match Report
209,Virgil van Dijk,0,53,1,0,0,70,2,2024-12-04,33-149,nl NED,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,53,59,89.8,0,3,0,0,4,844,247,27,27,100.0,24,27,88.9,2,5,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,13,41,29,0,0,70,2,1,0,2,0,0,1,0.0,1,0,0,0,3,5,6,0,0,0,0,1,0,DF,Match Report
210,Mohamed Salah,4,21,6,1,0,47,1,2024-12-04,32-172,eg EGY,Liverpool,@,Newcastle Utd,eng Premier League,D 3-3,Y,90,2,1,3,2,0,0,0,4,0.5,1.0,2,50.0,9.6,0,21,31,67.7,3,1,2,1,2,318,81,10,11,90.9,6,11,54.5,3,3,100.0,6,4,0,1,1,0,0,1,1,0,0,0,0,0,47,0,3,20,24,9,47,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,FW,Match Report
211,Diogo Jota,2,10,5,1,0,19,1,2024-12-14,28-010,pt POR,Liverpool,,Fulham,eng Premier League,D 2-2,N,12,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,14.6,0,10,15,66.7,2,1,0,0,1,103,24,9,9,100.0,1,3,33.3,0,2,0.0,5,2,0,3,0,0,0,1,0,0,1,0,0,0,19,0,2,8,9,5,19,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,1,0,FW,Match Report
212,Cody Gakpo,3,14,1,0,0,34,1,2024-12-14,25-221,nl NED,Liverpool,,Fulham,eng Premier League,D 2-2,Y,69,1,0,1,1,0,0,0,3,0.33,0.33,3,100.0,12.1,0,14,22,63.6,1,0,0,0,0,176,17,10,12,83.3,4,7,57.1,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,3,11,20,4,34,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,1,FW,Match Report
