Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Fabian Schär,1,9,0,0,0,13,0,2024-08-17,32-241,ch SUI,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,27,0,0,0,0,0,0,0,1,0.0,,0,0.0,15.6,0,9,11,81.8,0,1,0,0,1,161,63,5,6,83.3,3,3,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,5,5,3,1,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,2,0,DF,Match Report
12,Lewis Hall,0,17,1,0,1,38,0,2024-08-17,19-344,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,69,0,0,0,0,0,0,0,0,,,0,,,0,17,30,56.7,1,0,0,0,3,238,122,10,16,62.5,4,8,50.0,1,3,33.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,38,5,15,13,10,1,38,0,0,0,0,0,0,3,0.0,3,4,2,2,1,1,4,0,1,0,0,2,0,DF,Match Report
13,Jacob Murphy,0,6,1,0,0,12,3,2024-08-17,29-175,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,Y,29,0,0,0,0,0,0,0,0,,,0,,,0,6,7,85.7,0,1,1,0,3,98,42,3,3,100.0,2,3,66.7,1,1,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,2,7,4,0,12,3,3,1,2,0,3,3,100.0,0,0,0,0,0,3,0,0,0,0,0,1,1,FW,Match Report
14,Lloyd Kelly,0,1,0,0,0,5,0,2024-08-17,25-316,eng ENG,Newcastle Utd,,Southampton,eng Premier League,W 1-0,N,21,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,11,7,1,1,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,1,0,0,5,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,0,0,0,0,0,DF,Match Report
15,Kieran Trippier,0,18,2,0,0,33,2,2024-08-25,33-341,eng ENG,Newcastle Utd,@,Bournemouth,eng Premier League,D 1-1,N,33,0,0,0,0,0,0,0,0,,,0,,,0,18,31,58.1,0,3,0,0,3,361,146,6,7,85.7,10,12,83.3,2,11,18.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,33,1,7,10,18,0,33,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,0,0,DF,Match Report
16,Anthony Gordon,2,27,3,0,0,44,1,2024-08-25,23-183,eng ENG,Newcastle Utd,@,Bournemouth,eng Premier League,D 1-1,Y,88,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,15.4,0,27,36,75.0,4,2,3,3,1,433,145,13,14,92.9,12,15,80.0,1,1,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2,21,21,4,44,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,1,4,"FW,MF",Match Report
17,Harvey Barnes,1,13,3,1,0,17,0,2024-08-25,26-260,eng ENG,Newcastle Utd,@,Bournemouth,eng Premier League,D 1-1,N,33,0,1,1,0,0,0,0,1,0.0,,0,0.0,13.1,0,13,15,86.7,2,0,4,2,2,198,80,9,9,100.0,3,5,60.0,1,1,100.0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,17,0,0,5,12,4,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
18,Nick Pope,0,27,0,0,0,41,0,2024-08-25,32-128,eng ENG,Newcastle Utd,@,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,36,75.0,0,0,0,0,0,760,508,7,7,100.0,12,12,100.0,8,16,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,41,0,0,0,41,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,GK,Match Report
19,Emil Krafth,0,37,2,0,0,53,1,2024-08-25,30-023,se SWE,Newcastle Utd,@,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,37,46,80.4,1,3,0,0,1,707,319,11,15,73.3,23,25,92.0,3,5,60.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,53,6,31,21,1,0,53,1,1,0,1,0,0,0,,0,1,0,1,2,3,1,0,0,0,0,2,1,DF,Match Report
20,Bruno Guimarães,2,59,5,0,0,88,4,2024-08-25,26-283,br BRA,Newcastle Utd,@,Bournemouth,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,18.6,0,59,75,78.7,2,10,6,0,16,1121,402,23,27,85.2,26,30,86.7,8,12,66.7,5,4,0,1,0,0,0,0,0,0,0,0,0,0,88,4,23,52,14,1,88,4,1,3,1,0,2,2,100.0,0,0,0,0,0,4,2,0,0,0,0,0,6,MF,Match Report
