Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
11,Illia Zabarnyi,0,45,1,0,0,70,0,2024-08-17,21-351,ua UKR,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,45,57,78.9,0,5,1,0,2,1001,546,19,20,95.0,17,21,81.0,9,16,56.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,70,10,34,35,1,0,70,0,0,0,0,0,0,0,,0,2,0,2,2,2,6,0,0,0,0,0,1,DF,Match Report
12,Luis Sinisterra,2,12,0,0,0,26,1,2024-08-17,25-061,co COL,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,62,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,17.5,0,12,15,80.0,0,0,0,0,1,188,24,5,6,83.3,7,8,87.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,4,8,14,3,26,1,0,0,0,1,0,2,0.0,2,1,0,1,0,1,1,0,0,0,0,0,1,"FW,MF",Match Report
13,Julian Araujo,0,17,1,0,0,26,1,2024-08-17,23-004,mx MEX,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,N,28,0,0,0,0,0,0,0,0,,,0,,,0,17,23,73.9,0,3,1,0,2,319,127,6,7,85.7,9,10,90.0,2,4,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,2,6,16,4,0,26,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,0,DF,Match Report
14,Neto,0,23,0,0,0,39,0,2024-08-17,35-029,br BRA,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,23,34,67.6,0,0,0,0,0,427,238,6,6,100.0,16,16,100.0,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,39,0,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,GK,Match Report
15,Philip Billing,0,1,0,0,0,4,1,2024-08-17,28-067,dk DEN,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,N,7,0,0,0,0,0,0,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,15,0,0,0,,1,2,50.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,1,4,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
16,Antoine Semenyo,5,22,2,0,0,48,0,2024-08-17,24-223,gh GHA,Bournemouth,@,Nott'ham Forest,eng Premier League,D 1-1,Y,90,1,0,1,1,0,0,0,5,0.2,0.5,2,40.0,19.7,0,22,33,66.7,0,1,0,0,1,370,30,12,15,80.0,5,8,62.5,4,6,66.7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,48,1,3,14,32,5,48,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0,0,0,0,2,FW,Match Report
17,Daniel Jebbison,0,0,0,0,0,0,0,2024-08-25,21-012,ca CAN,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,N,6,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
18,Milos Kerkez,0,25,1,0,0,49,2,2024-08-25,20-292,hu HUN,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,25,37,67.6,0,2,0,0,3,369,83,16,19,84.2,8,13,61.5,1,3,33.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,49,3,11,21,17,1,49,2,1,0,1,1,0,0,,0,3,1,2,1,3,4,0,0,0,0,1,0,DF,Match Report
19,Alex Scott,1,5,1,0,0,16,1,2024-08-25,21-004,eng ENG,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,N,27,0,0,0,0,0,0,0,1,0.0,,0,0.0,30.8,0,5,5,100.0,0,1,0,0,1,92,34,2,2,100.0,3,3,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,8,3,0,16,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,1,MF,Match Report
20,Adam Smith,0,0,0,0,0,1,0,2024-08-25,33-118,eng ENG,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,N,5,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
21,Ryan Christie,0,19,5,0,1,31,1,2024-08-25,29-185,sct SCO,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,63,0,0,0,0,0,0,0,0,,,0,,,0,19,21,90.5,3,2,2,0,6,360,133,6,6,100.0,11,12,91.7,2,3,66.7,5,4,0,0,0,1,0,0,0,0,0,0,0,0,31,1,2,20,9,0,31,1,0,0,1,0,0,0,,0,2,0,2,0,1,1,0,1,0,0,1,1,MF,Match Report
22,Lewis Cook,0,35,4,0,0,60,5,2024-08-25,27-204,eng ENG,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,35,50,70.0,1,4,2,0,5,723,267,15,16,93.8,12,18,66.7,8,15,53.3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,60,3,11,36,14,0,60,5,4,4,1,0,3,5,60.0,2,1,0,1,1,6,3,0,0,0,0,5,0,"MF,DF",Match Report
23,Dango Ouattara,1,2,2,0,0,14,1,2024-08-25,22-196,bf BFA,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,N,19,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.8,0,2,6,33.3,0,0,0,0,0,34,29,0,1,0.0,2,2,100.0,0,2,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,4,7,2,5,1,14,1,1,1,0,0,0,0,,0,1,0,1,1,2,3,0,0,0,0,1,1,FW,Match Report
24,Marcos Senesi,0,28,2,0,1,56,3,2024-08-25,27-107,ar ARG,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,39,71.8,0,7,2,1,3,513,233,13,14,92.9,12,14,85.7,3,11,27.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,56,7,25,22,9,2,56,3,3,3,0,0,2,3,66.7,1,3,2,1,1,4,6,0,1,0,0,1,0,DF,Match Report
25,Justin Kluivert,1,15,2,0,0,31,1,2024-08-25,25-112,nl NED,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,71,0,0,0,0,0,0,0,1,0.0,,0,0.0,4.4,0,15,21,71.4,2,0,0,0,2,226,26,7,10,70.0,8,9,88.9,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,12,19,4,31,1,0,0,1,0,0,0,,0,2,0,2,1,2,0,0,0,0,0,5,0,MF,Match Report
26,Marcus Tavernier,2,25,3,0,0,51,3,2024-08-25,25-156,eng ENG,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,84,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,16.6,1,25,32,78.1,4,1,0,0,3,436,88,11,13,84.6,13,14,92.9,1,3,33.3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,51,1,3,19,29,2,51,3,3,1,1,1,1,1,100.0,0,3,0,3,0,3,0,0,0,0,0,2,1,"FW,MF",Match Report
27,Evanilson,3,6,1,0,0,23,1,2024-08-25,24-324,br BRA,Bournemouth,,Newcastle Utd,eng Premier League,D 1-1,Y,71,0,0,0,0,0,0,0,3,0.0,0.0,2,66.7,11.9,0,6,11,54.5,0,1,0,0,1,74,15,4,6,66.7,0,0,,1,1,100.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23,2,2,10,11,4,23,1,1,0,0,1,1,1,100.0,0,2,1,1,0,1,1,0,0,0,0,2,2,FW,Match Report
